"","x"
"1","Eucalyptus obliqua"
"2","Eucalyptus radiata"
"3","Eucalyptus delegatensis"
"4","Eucalyptus verrucata"
"5","Eucalyptus baxteri"
"6","Eucalyptus diversifolia"
"7","Eucalyptus cloeziana"
"8","Eucalyptus umbra"
"9","Eucalyptus regnans"
"10","Eucalyptus elata"
"11","Eucalyptus sieberi"
"12","Eucalyptus patens"
"13","Eucalyptus marginata"
"14","Eucalyptus curtisii"
"15","Eucalyptus microcorys"
"16","Eucalyptus salmonophloia"
"17","Eucalyptus guilfoylei"
"18","Eucalyptus melliodora"
"19","Eucalyptus polybractea"
"20","Eucalyptus cladocalyx"
"21","Eucalyptus nitens"
"22","Eucalyptus aromaphloia"
"23","Eucalyptus saligna"
"24","Eucalyptus globulus"
"25","Eucalyptus camaldulensis"
"26","Eucalyptus grandis"
"27","Eucalyptus deglupta"
"28","Eucalyptus spathulata"
"29","Eucalyptus torquata"
"30","Eucalyptus diversicolor"
"31","Eucalyptus erythrocorys"
"32","Corymbia gummifera"
"33","Corymbia maculata"
"34","Corymbia eximia"
"35","Corymbia tessellaris"
"36","Angophora floribunda"
"37","Angophora costata"
"38","Stockwellia quadrifida"
"39","Allosyncarpia ternata"
